location,bhk,areawithtype,area,built_up_area,transaction,status,floornum,totalfloor,furnishing,facing,price_per_sqft,price,latitude,longitude
vastral/sardar patel ring rd/odhav,2,Carpet Area,726,799,Resale,Ready to Move,2,5,Unfurnished,East,2688,0.3,22.9948656,72.6624431
chandkheda,1,Carpet Area,747,822,Resale,Ready to Move,5,7,Unfurnished,East,3614,0.27,23.1100643,72.5811205
narolgam/vatva/ghodasar,2,Super Area,1080,1080,Resale,Ready to Move,2,7,Unfurnished,East,2177,0.23,22.9641614,72.5903337
prahlad nagar/jivraj park/vejalpur/jodhpur,1,Carpet Area,459,505,Resale,Ready to Move,2,4,Semi-Furnished,East,4786,0.28,23.0002435,72.5054049
vastral/sardar patel ring rd/odhav,2,Carpet Area,615,676,Resale,Ready to Move,3,5,Unfurnished,East,3175,0.3,22.9948656,72.6624431
narolgam/vatva/ghodasar,1,Super Area,621,621,Resale,Ready to Move,4,5,Unfurnished,East,2337,0.14,22.9641614,72.5903337
narolgam/vatva/ghodasar,2,Carpet Area,783,861,Resale,Ready to Move,13,14,Unfurnished,East,2593,0.28,22.9641614,72.5903337
chharodi/tragad,1,Carpet Area,549,604,Resale,Ready to Move,2,7,Unfurnished,East,4189,0.23,23.12295955,72.54044594045365
narolgam/vatva/ghodasar,2,Super Area,902,902,Resale,Ready to Move,4,5,Unfurnished,East,2385,0.21,22.9641614,72.5903337
chandkheda,1,Carpet Area,405,446,Resale,Ready to Move,7,10,Furnished,East,7407,0.3,23.1100643,72.5811205
gota/jagatpur/newranip/sola,1,Super Area,635,635,Resale,Ready to Move,6,14,Furnished,North,5984,0.38,23.1010002,72.5408363
shela,2,Carpet Area,667,734,New Property,Under Construction,10,14,Unfurnished,East,3200,0.39,23.01313705,72.45356756504998
sanand/godhavi,2,Carpet Area,575,632,New Property,Under Construction,8,14,Unfurnished,East,3725,0.39,23.0238876,72.3851475
gota/jagatpur/newranip/sola,1,Carpet Area,535,588,New Property,Under Construction,1,10,Unfurnished,North,3780,0.33,23.1010002,72.5408363
shela,2,Carpet Area,596,656,New Property,Under Construction,6,14,Unfurnished,West,3397,0.37,23.01313705,72.45356756504998
naroda/hansol,2,Super Area,1080,1080,Resale,Ready to Move,5,7,Unfurnished,North - East,3102,0.34,23.0854097,72.6580946
shela,2,Carpet Area,597,657,New Property,Ready to Move,8,14,Unfurnished,East,3594,0.39,23.01313705,72.45356756504998
shela,2,Super Area,1220,1220,New Property,Under Construction,10,14,Unfurnished,East,3100,0.38,23.01313705,72.45356756504998
vaishnodevi circle,1,Carpet Area,420,462,Resale,Ready to Move,4,7,Unfurnished,East,5423,0.35,23.0428,72.5964
vastral/sardar patel ring rd/odhav,2,Carpet Area,914,1005,Resale,Ready to Move,3,5,Unfurnished,East,2912,0.38,22.9948656,72.6624431
bopal/ghuma/shilaj/ambli,2,Carpet Area,660,726,Resale,Other,1,14,Unfurnished,East,3500,0.39,23.02353855,72.47052697610516
shahibag/khokhra/saraspur,2,Carpet Area,607,668,Resale,Ready to Move,5,14,Semi-Furnished,East,3314,0.35,23.0215,72.5788
shela,2,Super Area,1150,1150,New Property,Ready to Move,4,14,Unfurnished,East,3400,0.39,23.01313705,72.45356756504998
zundal,2,Carpet Area,720,792,Resale,Ready to Move,1,7,Unfurnished,West,3419,0.4,23.1309,72.5852
shantipura circle/sanathal,2,Carpet Area,586,645,New Property,Under Construction,9,14,Unfurnished,East,3600,0.38,22.987597,72.47144058390487
gota/jagatpur/newranip/sola,1,Carpet Area,880,968,New Property,Under Construction,5,10,Unfurnished,East,4034,0.35,23.1010002,72.5408363
shela,2,Carpet Area,600,660,Resale,Ready to Move,6,13,Unfurnished,East,3594,0.39,23.01313705,72.45356756504998
vastral/sardar patel ring rd/odhav,2,Carpet Area,1197,1317,Resale,Ready to Move,2,5,Unfurnished,East,3091,0.37,22.9948656,72.6624431
shela,2,Carpet Area,597,657,New Property,Ready to Move,9,14,Unfurnished,East,3600,0.39,23.01313705,72.45356756504998
narolgam/vatva/ghodasar,2,Carpet Area,769,846,Resale,Ready to Move,3,4,Furnished,East,3643,0.4,22.9641614,72.5903337
gota/jagatpur/newranip/sola,1,Carpet Area,330,363,Resale,Ready to Move,2,12,Furnished,East,5833,0.35,23.1010002,72.5408363
bopal/ghuma/shilaj/ambli,2,Carpet Area,810,891,Resale,Ready to Move,3,4,Semi-Furnished,East,4384,0.35,23.02353855,72.47052697610516
gota/jagatpur/newranip/sola,1,Super Area,765,765,Resale,Ready to Move,6,7,Semi-Furnished,East,4575,0.35,23.1010002,72.5408363
gota/jagatpur/newranip/sola,1,Carpet Area,360,396,Resale,Ready to Move,4,14,Furnished,North - East,5167,0.31,23.1010002,72.5408363
gota/jagatpur/newranip/sola,2,Carpet Area,420,462,Resale,Ready to Move,8,14,Unfurnished,East,3900,0.3,23.1010002,72.5408363
naroda/hansol,2,Super Area,1035,1035,Resale,Other,4,5,Semi-Furnished,North,3865,0.4,23.0854097,72.6580946
chharodi/tragad,2,Carpet Area,792,871,Resale,Ready to Move,3,5,Unfurnished,East,3915,0.37,23.12295955,72.54044594045365
bopal/ghuma/shilaj/ambli,1,Carpet Area,360,396,Resale,Ready to Move,6,13,Furnished,East,5333,0.32,23.02353855,72.47052697610516
naroda/hansol,2,Carpet Area,700,770,Resale,Ready to Move,6,7,Unfurnished,North,2857,0.4,23.0854097,72.6580946
chharodi/tragad,2,Super Area,1200,1200,New Property,Ready to Move,3,10,Unfurnished,East,3083,0.37,23.12295955,72.54044594045365
shahibag/khokhra/saraspur,3,Carpet Area,660,726,New Property,Ready to Move,10,14,Unfurnished,North,3123,0.36,23.0215,72.5788
gota/jagatpur/newranip/sola,2,Carpet Area,765,842,Resale,Ready to Move,13,14,Semi-Furnished,North - East,3865,0.4,23.1010002,72.5408363
nikol,2,Carpet Area,765,842,Resale,Ready to Move,3,5,Semi-Furnished,East,3378,0.38,23.0589329,72.6718736720388
gandhinagar highway,1,Super Area,600,600,Resale,Ready to Move,1,12,Furnished,East,6333,0.38,23.0876721,72.6300562
narolgam/vatva/ghodasar,1,Carpet Area,855,941,Resale,Ready to Move,1,4,Furnished,East,3704,0.4,22.9641614,72.5903337
chandkheda,2,Carpet Area,1200,1320,Resale,Ready to Move,3,7,Semi-Furnished,North,3333,0.4,23.1100643,72.5811205
vastral/sardar patel ring rd/odhav,2,Carpet Area,773,850,Resale,Ready to Move,1,5,Furnished,East,3114,0.37,22.9948656,72.6624431
